station_id,station_name,network_id,network_name,lat,lon,CityEng,StatesEng,CityNoAcc,StatesNoAcc
131,Laboratorio de Salud,66,Morelia,19.691977777778,-101.15547222222,Morelia,Michoacán,Morelia,Michoacan
130,Palacio Municipal,66,Morelia,19.701388888889,-101.195,Morelia,Michoacán,Morelia,Michoacan
354,Dirección de Ecología Municipal,132,Moroleon,20.131944444444,-101.18833333333,Moroleón,Guanajuato,Moroleon,Guanajuato
114,ACS,64,Municipio de Juárez,31.752777777778,-106.50111111111,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
112,ADVANCE,64,Municipio de Juárez,31.689722222222,-106.45972222222,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
115,ANAPRA,64,Municipio de Juárez,31.775,-106.56027777778,Puerto de Anapra,Chihuahua,Puerto de Anapra,Chihuahua
118,BABICORA,64,Municipio de Juárez,31.645,-106.38394444444,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
119,BENITO JUÁREZ,64,Municipio de Juárez,31.656666666667,-106.35805555556,,Chihuahua,,Chihuahua
120,CHAMIZAL,64,Municipio de Juárez,31.755,-106.45958333333,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
111,CANALES LIRA,64,Municipio de Juárez,31.735555555556,-106.50361111111,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
407,Delphi,64,Municipio de Juárez,-1.0,-1.0,,,,
387,Chihuahua,64,Municipio de Juárez,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
116,FEDERAL 3,64,Municipio de Juárez,31.728055555556,-106.50361111111,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
117,NIÑEZ-MEXICANA,64,Municipio de Juárez,31.661111111111,-106.45416666667,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
386,Peztalozzi,64,Municipio de Juárez,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
121,TECNO,64,Municipio de Juárez,31.717083333333,-106.39633333333,Ciudad Juárez,Chihuahua,Ciudad Juarez,Chihuahua
113,ZENCO,64,Municipio de Juárez,31.637055555556,-106.44241666667,,Chihuahua,,Chihuahua
197,Instituto Politécnico de la Chontalpa,96,Nacajuca,18.1755,-93.026833333333,,Tabasco,,Tabasco
189,Navojoa,90,Navojoa,-1.0,-1.0,,,,
187,Instituto Tecnológico de Nogales,88,Nogales,31.293111111111,-110.95230555556,Heroica Nogales,Sonora,Heroica Nogales,Sonora
213,Bomberos,104,Nuevo Laredo,27.513611111111,-99.556388888889,Nuevo Laredo,Tamaulipas,Nuevo Laredo,Tamaulipas
212,CBTIS234,104,Nuevo Laredo,27.412222222222,-99.546944444444,Nuevo Laredo,Tamaulipas,Nuevo Laredo,Tamaulipas
214,IMSS Santa Fé,104,Nuevo Laredo,27.495555555556,-99.549166666667,Nuevo Laredo,Tamaulipas,Nuevo Laredo,Tamaulipas
211,Tecnológico,104,Nuevo Laredo,27.453055555556,-99.515,Nuevo Laredo,Tamaulipas,Nuevo Laredo,Tamaulipas
160,CEDART,73,Oaxaca,16.699340277778,-96.866455,,Oaxaca,,Oaxaca
297,Casa Hogar,73,Oaxaca,17.094666666667,-96.752166666667,Oaxaca City,Oaxaca,Oaxaca City,Oaxaca
133,Palacio Municipal,68,Ocuituco,18.8775,-98.775555555556,Ocuituco,Morelos,Ocuituco,Morelos
412,Presidencia Municipal,145,Ojinaga,29.564416666667,-104.41577777778,Ojinaga,Chihuahua,Ojinaga,Chihuahua
419,Protección Civil,145,Ojinaga,29.53825,-104.42255555556,Ojinaga,Chihuahua,Ojinaga,Chihuahua
418,Taller de Obras Públicas,145,Ojinaga,29.547833333333,-104.40141666667,Ojinaga,Chihuahua,Ojinaga,Chihuahua
94,Casa de la Mujer Hidalguense,59,Pachuca,20.123361111111,-98.73675,Pachuca,Hidalgo,Pachuca,Hidalgo
343,Cubitos,59,Pachuca,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
95,Instituto Tecnológico de Pachuca,59,Pachuca,20.083083333333,-98.773472222222,Venta Prieta,Hidalgo,Venta Prieta,Hidalgo
92,Jardín del Maestro,59,Pachuca,20.120555555556,-98.74,Pachuca,Hidalgo,Pachuca,Hidalgo
93,Museo del Rehilete,59,Pachuca,20.077222222222,-98.777972222222,Venta Prieta,Hidalgo,Venta Prieta,Hidalgo
198,Universidad Politécnica del Golfo de México,97,Paraíso,18.368611111111,-93.196111111111,,Tabasco,,Tabasco
306,Centro de Rehabilitación DIF,125,Piedras Negras,28.707666666667,-100.5265,Piedras Negras,Coahuila,Piedras Negras,Coahuila
291,Universidad Veracruzana,120,Poza Rica,20.508972222222,-97.446986111111,Poza Rica,Veracruz,Poza Rica,Veracruz
163,Benemérito Instituto Normal del Estado,74,Puebla,19.062722222222,-98.224527777778,Puebla City,Puebla,Puebla City,Puebla
162,Las Ninfas,74,Puebla,19.041388888889,-98.214222222222,Puebla City,Puebla,Puebla City,Puebla
161,Agua Santa,74,Puebla,18.987583333333,-98.250388888889,Puebla City,Puebla,Puebla City,Puebla
164,Universidad Tecnológica de Puebla,74,Puebla,19.071888888889,-98.151722222222,Puebla City,Puebla,Puebla City,Puebla
406,Universidad Tecnológica de Puebla,74,Puebla,19.071888888889,-98.151722222222,Puebla City,Puebla,Puebla City,Puebla
165,Velódromo,74,Puebla,18.987361111111,-98.277944444444,,Puebla,,Puebla
191,Puerto Peñasco,92,Puerto Peñasco,-1.0,-1.0,,,,
423,Purísima del Rincón,149,Purísima del Rincón,-1.0,-1.0,,,,
215,Reynosa1,105,Reynosa,26.0625,-98.330277777778,Reynosa,Tamaulipas,Reynosa,Tamaulipas
216,Reynosa2,105,Reynosa,26.038611111111,-98.390833333333,,Tamaulipas,,Tamaulipas
217,Reynosa3,105,Reynosa,26.056666666667,-98.325277777778,Reynosa,Tamaulipas,Reynosa,Tamaulipas
218,Reynosa4,105,Reynosa,26.0575,-98.335555555556,Reynosa,Tamaulipas,Reynosa,Tamaulipas
43,Rosarito,33,Rosarito,32.353055555556,-117.05611111111,Rosarito,Baja California,Rosarito,Baja California
374,Rosarito,33,Rosarito,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
77,Cruz roja,48,Salamanca,20.578611111111,-101.19888888889,Salamanca,Guanajuato,Salamanca,Guanajuato
78,DIF,48,Salamanca,20.558055555556,-101.20472222222,Salamanca,Guanajuato,Salamanca,Guanajuato
79,Nativitas,48,Salamanca,20.565,-101.18805555556,Salamanca,Guanajuato,Salamanca,Guanajuato
304,Finanzas,123,Saltillo,25.421472222222,-100.99686111111,Saltillo,Coahuila,Saltillo,Coahuila
417,Salvador Alvarado,84,Salvador Alvarado,25.456944444444,-108.08091666667,Guamúchil,Sinaloa,Guamuchil,Sinaloa
183,Ayuntamiento,84,Salvador Alvarado,25.456944444444,-108.08091666667,Guamúchil,Sinaloa,Guamuchil,Sinaloa
357,Dirección de Ecología Municipal,135,San Francisco del Rincón,21.020555555556,-101.85333333333,San Francisco del Rincón,Guanajuato,San Francisco del Rincon,Guanajuato
361,Presidencia Municipal,139,San José Iturbide,20.998888888889,-100.38527777778,San José Iturbide,Guanajuato,San Jose Iturbide,Guanajuato
410,UMMASJR,146,San Juan del Rio,20.389444444444,-99.972972222222,San Juan del Río,Querétaro,San Juan del Rio,Queretaro
358,Presidencia Municipal,136,San Luis de la Paz,21.295861111111,-100.52330555556,San Luis de la Paz,Guanajuato,San Luis de la Paz,Guanajuato
174,Biblioteca,79,San Luis Potosí Estatal,22.174222222222,-100.99308333333,San Luis Potosí City,San Luis Potosí,San Luis Potosi City,San Luis Potosi
172,DIF,79,San Luis Potosí Estatal,22.13175,-100.97691666667,San Luis Potosí City,San Luis Potosí,San Luis Potosi City,San Luis Potosi
173,Facultad Psicología,79,San Luis Potosí Estatal,22.144444444444,-100.94861111111,San Luis Potosí City,San Luis Potosí,San Luis Potosi City,San Luis Potosi
171,Industriales Potosinos Asociados,79,San Luis Potosí Estatal,22.15125,-100.99611111111,San Luis Potosí City,San Luis Potosí,San Luis Potosi City,San Luis Potosi
190,San Luis Río Colorado,91,San Luis Río Colorado,-1.0,-1.0,,,,
352,Presidencia Municipal,130,San Miguel de Allende,20.903777777778,-100.71325,,Guanajuato,,Guanajuato
351,CAISES,130,San Miguel de Allende,20.895555555556,-100.75416666667,San Miguel de Allende,Guanajuato,San Miguel de Allende,Guanajuato
224,Quilehtla,111,Santa Cruz Quilehtla,19.213611111111,-98.222222222222,Santa Cruz Quilehtla,Tlaxcala,Santa Cruz Quilehtla,Tlaxcala
170,Bomberos,78,Santiago de Querétaro,20.587222222222,-100.39472222222,Querétaro,Querétaro,Queretaro,Queretaro
168,Epigmenio González,78,Santiago de Querétaro,20.627625,-100.40876666667,Querétaro,Querétaro,Queretaro,Queretaro
169,Félix Osores,78,Santiago de Querétaro,20.635125,-100.45924722222,Querétaro,Querétaro,Queretaro,Queretaro
408,UMMA1,78,Santiago de Querétaro,20.61475,-100.42430555556,Querétaro,Querétaro,Queretaro,Queretaro
409,UMMA2,78,Santiago de Querétaro,20.584805555556,-100.37752777778,Querétaro,Querétaro,Queretaro,Queretaro
80,Hospital General,49,Silao,20.947777777778,-101.42583333333,Silao,Guanajuato,Silao,Guanajuato
219,Estación de Policía,106,Tampico,22.381666666667,-97.909722222222,Altamira,Tamaulipas,Altamira,Tamaulipas
199,Universidad Politécnica del Centro,98,Teapa,17.8095,-92.925944444444,,Tabasco,,Tabasco
44,Tecate,34,Tecate,32.568825,-116.62688055556,Tecate,Baja California,Tecate,Baja California
379,Tecate,34,Tecate,32.568825,-116.62688055556,Tecate,Baja California,Tecate,Baja California
84,Estación de Bomberos de Cd. Sahagún,53,Tepeapulco,19.771694444444,-98.577694444444,Ciudad Sahagún,Hidalgo,Ciudad Sahagun,Hidalgo
